Unabbreviated,Abbreviated
Apartment,APT
Basement,BSMT
Building,BLDG
Department,DEPT
Floor,FL
Hanger,HNGR
Lobby,LBBY
Lower,LOWR
Office,OFC
Penthouse,PH
Room,RM
Suite,STE
Trailer,TRLR
Unit,UNIT
Upper,UPPR
Alley,ALY
Avenue,AVE
Boulevard,BLVD
Causeway,CSWY
Center,CTR
Circle,CIR
Court,CT
Cove,CV
Crossing,XING
Drive,DR
Expressway,EXPY
Extension,EXT
Freeway,FWY
Grove,GRV
Highway,HWY
Hollow,HOLW
Junction,JCT
Lane,LN
Motorway,MTWY
Overpass,OPAS
Park,PARK
Parkway,PKWY
Place,PL
Plaza,PLZ
Point,PT
Road,RD
Route,RTE
Skyway,SKWY
Square,SQ
Street,ST
Terrace,TER
Trail,TRL
Way,WAY
Annex,ANX
Arcade,ARC
Bayou,BYU
Beach,BCH
Bend,BND
Bluff,BLF
Bottom,BTM
Branch,BR
Bridge,BRG
Brook,BRK
Burg,BG
Bypass,BYP
Camp,CP
Canyon,CYN
Cape,CPE
Cliff,CLF
Club,CLB
Commons,CMNS
Corner,CNR
Corners,CORS
Course,CRSE
Creek,CRK
Crescent,CRES
Dale,DL
Estate,EST
Falls,FLS
Field,FLD
Flats,FLTS
Ford,FRD
Forge,FRG
Gateway,GTWY
Glen,GLN
Haven,HVN
Heights,HTS
Ridge,RDG
Station,STA
